"Source","d15N","NC"
"terrestrial",2.21,0.0696969696969697
"terrestrial",2,0.074964639321075
"terrestrial",2.51,0.0791896869244935
"terrestrial",-0.9,0.0356926799758016
"terrestrial",-1.29,0.0326211807948541
"terrestrial",0.69,0.0270392068499324
"terrestrial",3.11,0.076036866359447
"terrestrial",3.26,0.0789473684210526
"terrestrial",3.52,0.0865921787709497
"terrestrial",3.88,0.088
"terrestrial",4.21,0.0947867298578199
"terrestrial",4.35,0.0983606557377049
"terrestrial",0.73,0.0618181818181818
"aquatic",3.2,0.152162545753343
"aquatic",3.72,0.147331342369247
"aquatic",3.34,0.12904514582501
"aquatic",3.7,0.142168484273747
"aquatic",15.41,0.181149593156687
"aquatic",12.99,0.168463214937857
"aquatic",14.38,0.17068361086766
"aquatic",9.07,0.169030669592678
"aquatic",9.76,0.16756802079403
"aquatic",5.85,0.137487322515213
"aquatic",8.98,0.193978658536585
"aquatic",8.13,0.198819017471236
"aquatic",7.52,0.191831431935366
"aquatic",8.63,0.189233278955954
"aquatic",8.62,0.195707114419249
"aquatic",9.14,0.183978009032005
